"conceptFrom","conceptTo","metaOntology","metaName","casosWhat","casosWhy"
"oil_spills","oil_spill","agent","","changeThesauri.csv","closenames"
"mtrk_jason_bradley","mtkr_jason_bradley","agent","","changeThesauri.csv","closenames"
"mktr_jason_bradley","mtkr_jason_bradley","agent","","changeThesauri.csv","closenames"
"ronnie_gil_l_gavan","ronnie_gil_gavan","agent","","changeThesauri.csv","closenames"
"philippine_coast_guard_na","philippine_coast_guard","agent","","changeThesauri.csv","closenames"
"philippine_coast_guards","philippine_coast_guard","agent","","changeThesauri.csv","closenames"
"guard","philippine_coast_guard","agent","","changeThesauri.csv","Entry created because of depth first search function in merge."
"vice","limay_vice","agent","","changeThesauri.csv","names"
"coast","philippine_coast_guard","agent","","changeThesauri.csv","Entry created because of depth first search function in merge."
"bay","manila_bay_ay","agent","","changeThesauri.csv","names"
"revenue","internal_revenue","agent","","changeThesauri.csv","names"
"antonio tagayong","antonio_tagayong","agent","","changeThesauri.csv","names"
"coast guard initially","coast_guard_initially","agent","","changeThesauri.csv","names"
"san miguel","san_miguel","agent","","changeThesauri.csv","names"
"fish","—_fish","agent","","changeThesauri.csv","names"
"tuesday morn","tuesday_morn","agent","","changeThesauri.csv","names"
"mt terra nova","mt_terra_nova","agent","","changeThesauri.csv","names"
"admiral","spokesperson_rear_admiral_armand_balilo","agent","","changeThesauri.csv","names"
"maritime organization regional","maritime_organization_regional","agent","","changeThesauri.csv","names"
"joanna rose aglibot","joanna_rose_aglibot","agent","","changeThesauri.csv","names"
"rear admiral armando balilo","rear_admiral_armando_balilo","agent","","changeThesauri.csv","names"
"oriental mindoro","oriental_mindoro","agent","","changeThesauri.csv","names"
"peninsula state university","peninsula_state_university","organization","","changeThesauri.csv","names"
"salvor harbor star","salvor_harbor_star","agent","","changeThesauri.csv","names"
"management team creat","management_team_creat","agent","","changeThesauri.csv","names"
"—val rf","—val_rf","agent","","changeThesauri.csv","names"
"management council","management_council","organization","","changeThesauri.csv","names"
"oil spills","oil_spill","agent","","changeThesauri.csv","Entry created because of depth first search function in merge."
"jonvic","—_cavite_government_jonvic_remulla","agent","","changeThesauri.csv","names"
"— vince angelo ferreras bm","—_vince_angelo_ferreras_bm","agent","","changeThesauri.csv","names"
"jose garcia","jose_garcia","agent","","changeThesauri.csv","names"
"villar","cynthia_villar","agent","","changeThesauri.csv","names"
