"frequency","CURRENT_concept","NEW_concept","CURRENT_metaOntology","NEW_metaOntology","CURRENT_metaType","NEW_metaType"
"20","president",,"UNKNOWN",,,
"3","plastic",,"unknown",,,
"1","advocacy",,"UNKNOWN",,,
"1","augment",,"task",,,
"1","iyong",,"UNKNOWN",,,
"1","binibigay",,"UNKNOWN",,,
"1","roll",,"UNKNOWN",,,
"1","detrimental",,"UNKNOWN",,,
"3","materials",,"unknown",,,
"2","gloria",,"UNKNOWN",,,
"1","event",,"unknown",,,
"3","movement",,"UNKNOWN",,,
"1","role",,"UNKNOWN",,,
"1","cage",,"unknown",,,
"3","nga",,"UNKNOWN",,,
"3","marie",,"UNKNOWN",,,
"4","fes",,"UNKNOWN",,,
"2","essential",,"UNKNOWN",,,
"1","asset",,"unknown",,,
"1","gasoline",,"unknown",,,
"2","llandelar",,"UNKNOWN",,,
"20","told",,"task",,,
"2","answer",,"unknown",,,
"1","lumalabas",,"unknown",,,
"1","mage",,"UNKNOWN",,,
"1","shorelines",,"unknown",,,
"2","regard",,"unknown",,,
"4","meet",,"unknown",,,
"1","toll",,"unknown",,,
"1","naghahanda",,"UNKNOWN",,,
"2","touch",,"UNKNOWN",,,
"25","authorities",,"unknown",,,
"2","exacerbate",,"UNKNOWN",,,
"3","quality",,"unknown",,,
"1","components",,"unknown",,,
"1","mobilization",,"unknown",,,
"25","disast",,"agent",,,
"515","manila_bay_oil_spill_contingency_plan",,"agent",,,
"8","monsoon",,"UNKNOWN",,,
"1","situational",,"unknown",,,
"2","dissipate",,"task",,,
"1","sanctuary",,"UNKNOWN",,,
"1","john",,"agent",,,
"1","greg",,"UNKNOWN",,,
"1","commerci",,"UNKNOWN",,,
"2","biggest",,"unknown",,,
"1","caretakers",,"unknown",,,
"5","net",,"UNKNOWN",,,
"2","mirola",,"UNKNOWN",,,
"4","relief",,"unknown",,,
"1","inquiry",,"UNKNOWN",,,
"1","guidelines",,"unknown",,,
"1","preventive",,"UNKNOWN",,,
"3","trias",,"UNKNOWN",,,
"1","cavites",,"UNKNOWN",,,
"4","mention",,"UNKNOWN",,,
"6","contaminants",,"UNKNOWN",,,
"5","loyzaga",,"UNKNOWN",,,
"1","kadiwa",,"UNKNOWN",,,
"1","hangin",,"unknown",,,
"4","experts",,"unknown",,,
"1","formally",,"unknown",,,
"12","newslett",,"UNKNOWN",,,
"4","markets",,"UNKNOWN",,,
"1","illegal",,"unknown",,,
"1","drainage",,"UNKNOWN",,,
"2","velayo_jr",,"agent",,,
"1","play_on",,"UNKNOWN",,,
"1","hazard",,"UNKNOWN",,,
"3","suffer",,"task",,,
"1","bilyon",,"unknown",,,
"1","pinasok",,"UNKNOWN",,,
"1","capacity-build",,"UNKNOWN",,,
"1","solar",,"UNKNOWN",,,
"3","journalists",,"UNKNOWN",,,
"1","labor",,"agent",,,
"2","bureaus",,"unknown",,,
"1","analyze",,"task",,,
"1","spill-hit",,"unknown",,,
"1","advocates",,"unknown",,,
"2","expertise",,"unknown",,,
"2","ports",,"unknown",,,
"7","red",,"unknown",,,
"35","days",,"unknown",,,
"2","peoples",,"unknown",,,
"1","philippine_satellite_agency",,"organization",,,
"1","tumulong",,"unknown",,,
"2","advice",,"unknown",,,
"3","of_course",,"UNKNOWN",,,
"2","sampl",,"unknown",,,
"10","zone",,"unknown",,,
"1","ensu",,"UNKNOWN",,,
"2","suspend",,"unknown",,,
"10","resources",,"unknown",,,
"3","ncr",,"UNKNOWN",,,
"3","change",,"UNKNOWN",,,
"2","drop",,"task",,,
"17","consumption",,"unknown",,,
"1","regulations",,"UNKNOWN",,,
"12","lead",,"UNKNOWN",,,
"2","hanggang",,"UNKNOWN",,,
"1","kong",,"UNKNOWN",,,
"3","capital",,"UNKNOWN",,,
"2","expenses",,"UNKNOWN",,,
"2","cabe",,"UNKNOWN",,,
"2","medical",,"UNKNOWN",,,
"2","mussel",,"unknown",,,
"21","personnel",,"UNKNOWN",,,
"1","description",,"unknown",,,
"1","aquaculture",,"unknown",,,
"2","jam",,"UNKNOWN",,,
"1","mag-panic",,"UNKNOWN",,,
"3","tons",,"unknown",,,
"20","salvage",,"unknown",,,
"2","alongside",,"unknown",,,
"3","call_for",,"UNKNOWN",,,
