"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"1:10 am","1_10_am","","","time","1"
"Friday","Friday","","","date","1"
"Saturday","Saturday","","","date","5"
"Friday, August 2","Friday__August_2","","","date","1"
"10:57 pm","10_57_pm","","","time","1"
"July 25","July_25","","","date","1"
"Monday","Monday","","","date","2"
"August 3","August_3","","","date","1"
"July 27","July_27","","","date","1"
"July 23","July_23","","","date","2"
"Monday, August 5","Monday__August_5","","","date","2"
"July 24","July_24","","","date","1"
