"conceptFrom","conceptTo","metaOntology","metaName","extractedType","frequency"
"Tuesday","Tuesday","event","","date","3"
"February 2023","February_2023","event","","date","1"
"August 12","August_12","event","","date","1"
"July 31","July_31","event","","date","1"
"July 25","July_25","event","","date","1"
"July 27","July_27","event","","date","1"
"Thursday, July 25","Thursday__July_25","event","","date","1"
"Friday","Friday","event","","date","2"
"Saturday","Saturday","event","","date","3"
"Friday, July 26","Friday__July_26","event","","date","2"
"Thursday","Thursday","event","","date","1"
"Saturday, July 27","Saturday__July_27","event","","date","1"
"1:10 am","1_10_am","event","","time","1"
"Friday","Friday","event","","date","3"
"Friday, July 26","Friday__July_26","event","","date","1"
"Thursday","Thursday","event","","date","4"
"February 23, 2023","February_23__2023","event","","date","1"
"Tuesday, July 30","Tuesday__July_30","event","","date","1"
"Monday","Monday","event","","date","4"
"Tuesday","Tuesday","event","","date","1"
"Monday, July 29","Monday__July_29","event","","date","2"
"Sunday","Sunday","event","","date","2"
"Saturday","Saturday","event","","date","1"
"Sunday, July 28","Sunday__July_28","event","","date","1"
"Thursday, August 1","Thursday__August_1","event","","date","1"
"July 23","July_23","event","","date","1"
"Wednesday, August 7","Wednesday__August_7","event","","date","1"
"Wednesday","Wednesday","event","","date","2"
"Friday","Friday","event","","date","1"
"Saturday","Saturday","event","","date","5"
"Friday, August 2","Friday__August_2","event","","date","1"
"10:57 pm","10_57_pm","event","","time","1"
"Monday","Monday","event","","date","2"
"August 3","August_3","event","","date","1"
"July 23","July_23","event","","date","2"
"Monday, August 5","Monday__August_5","event","","date","2"
"July 24","July_24","event","","date","1"
"Wednesday","Wednesday","event","","date","1"
"July 25","July_25","event","","date","2"
"Friday, July 26, 2024","Friday__July_26__2024","event","","date","2"
"Thursday","Thursday","event","","date","3"
"July 31, 2024","July_31__2024","event","","date","1"
"August 7","August_7","event","","date","1"
"July 30","July_30","event","","date","1"
"July 27, 2024","July_27__2024","event","","date","1"
"July 25, 2024","July_25__2024","event","","date","1"
"July 30, 2024","July_30__2024","event","","date","1"
"August 1","August_1","event","","date","1"
"August 30","August_30","event","","date","1"
"July 1999","July_1999","event","","date","1"
"August 2013","August_2013","event","","date","1"
"February 1998","February_1998","event","","date","1"
"March 1999","March_1999","event","","date","1"
"February 28","February_28","event","","date","1"
"August 11, 2006","August_11__2006","event","","date","1"
"1:10","1_10","event","","time","1"
"Thursday","Thursday","event","","date","7"
"July 25, 2024","July_25__2024","event","","date","2"
"Monday","Monday","event","","date","1"
"July 29","July_29","event","","date","1"
"Sunday","Sunday","event","","date","1"
"July 25","July_25","event","","date","4"
"July 24","July_24","event","","date","3"
"Saturday","Saturday","event","","date","6"
"July 25","July_25","event","","date","3"
"Thursday, July 25, 2024","Thursday__July_25__2024","event","","date","2"
"1:10","1_10","event","","time","3"
"Thursday","Thursday","event","","date","6"
"February 28, 2023","February_28__2023","event","","date","1"
"Thursday, August 29","Thursday__August_29","event","","date","1"
"Wednesday, August 28","Wednesday__August_28","event","","date","1"
"Wednesday","Wednesday","event","","date","3"
"August 22","August_22","event","","date","1"
"Thursday","Thursday","event","","date","2"
"July 24","July_24","event","","date","2"
"August 5","August_5","event","","date","1"
"5:40AM","5_40AM","event","","time","1"
"5:40","5_40","event","","time","1"
"July 26, 2024","July_26__2024","event","","date","1"
"July 28, 2024","July_28__2024","event","","date","1"
"Monday, August 19","Monday__August_19","event","","date","1"
"Friday, August 23","Friday__August_23","event","","date","1"
"Thursday, August 22","Thursday__August_22","event","","date","1"
"July 26","July_26","event","","date","1"
"August 2024","August_2024","event","","date","1"
"Wednesday, August 14","Wednesday__August_14","event","","date","1"
"6:30 pm","6_30_pm","event","","time","1"
"May 2024","May_2024","event","","date","1"
"Tuesday","Tuesday","event","","date","2"
"Tuesday, August 13","Tuesday__August_13","event","","date","2"
"August 4","August_4","event","","date","1"
"$ 6","__6","resource","","currency","1"
"Tuesday, August 13","Tuesday__August_13","event","","date","1"
"July 27","July_27","event","","date","2"
"Monday, August 12","Monday__August_12","event","","date","1"
"March 28, 2011","March_28__2011","event","","date","1"
