conceptFrom,conceptTo,metaOntology,metaName,frequency
-VAL,-VAL,UNKNOWN,,2
ABS-CBN,ABS-CBN,UNKNOWN,,1
AFP,AFP,UNKNOWN,,3
AGAC,AGAC,UNKNOWN,,2
AGLIBOT,AGLIBOT,UNKNOWN,,1
AND,AND,UNKNOWN,,1
AOL,AOL,UNKNOWN,,1
BATAAN,BATAAN,UNKNOWN,,2
BFAR,BFAR,UNKNOWN,,35
BIR,BIR,UNKNOWN,,2
BM,BM,UNKNOWN,,1
BMB,BMB,UNKNOWN,,2
BOC,BOC,UNKNOWN,,1
BRG,BRG,UNKNOWN,,1
BRP,BRP,UNKNOWN,,3
BULACAN,BULACAN,UNKNOWN,,1
BY,BY,UNKNOWN,,2
CALABARZON,CALABARZON,UNKNOWN,,1
CG,CG,UNKNOWN,,2
CITY,CITY,UNKNOWN,,3
COMPOSITE,COMPOSITE,UNKNOWN,,2
CONTAIN,CONTAIN,UNKNOWN,,4
COURTESY,COURTESY,UNKNOWN,,2
DA,DA,UNKNOWN,,9
DA-BFAR,DA-BFAR,UNKNOWN,,1
DAMAGE,DAMAGE,UNKNOWN,,4
DANIELLA,DANIELLA,UNKNOWN,,2
DENR,DENR,UNKNOWN,,12
DILG,DILG,UNKNOWN,,5
DOH,DOH,UNKNOWN,,13
DOJ,DOJ,UNKNOWN,,16
DOLE,DOLE,UNKNOWN,,2
DOST,DOST,UNKNOWN,,1
DSWD,DSWD,UNKNOWN,,4
DTI,DTI,UNKNOWN,,1
DVM,DVM,UNKNOWN,,1
DZRH,DZRH,UNKNOWN,,1
ENVIRONMENTAL,ENVIRONMENTAL,UNKNOWN,,2
FERNANDO,FERNANDO,UNKNOWN,,1
FES,FES,UNKNOWN,,4
FILE,FILE,UNKNOWN,,1
FILES,FILES,UNKNOWN,,1
FROM,FROM,UNKNOWN,,3
GASCON,GASCON,UNKNOWN,,1
GEF,GEF,UNKNOWN,,1
GEF-UNDP-PEMSEA,GEF-UNDP-PEMSEA,UNKNOWN,,3
GERALD,GERALD,UNKNOWN,,2
GLOTON,GLOTON,UNKNOWN,,2
GMA,GMA,UNKNOWN,,19
GRAPHIC,GRAPHIC,UNKNOWN,,8
GREG,GREG,UNKNOWN,,1
IFO,IFO,UNKNOWN,,2
III,III,UNKNOWN,,2
IMAGE,IMAGE,UNKNOWN,,2
INQ,INQ,UNKNOWN,,2
INQUIR,INQUIR,UNKNOWN,,10
ITOPF,ITOPF,UNKNOWN,,2
JOANNA,JOANNA,UNKNOWN,,1
KBK,KBK,UNKNOWN,,1
KG,KG,UNKNOWN,,1
LDF,LDF,UNKNOWN,,1
LGU,LGU,UNKNOWN,,3
LUCENA,LUCENA,UNKNOWN,,1
MALOLOS,MALOLOS,UNKNOWN,,1
MANILA,MANILA,UNKNOWN,,25
MARIE,MARIE,UNKNOWN,,2
MELVIN,MELVIN,UNKNOWN,,1
MKTR,MKTR,UNKNOWN,,1
MR,MR,UNKNOWN,,1
MSI,MSI,UNKNOWN,,5
MSU-IIT,MSU-IIT,UNKNOWN,,1
MSWDO,MSWDO,UNKNOWN,,2
MT,MT,UNKNOWN,,142
MTKR,MTKR,UNKNOWN,,48
MTRK,MTRK,UNKNOWN,,2
MV,MV,UNKNOWN,,42
NBI,NBI,UNKNOWN,,5
NCR,NCR,UNKNOWN,,3
NOAA,NOAA,UNKNOWN,,2
NOCOP,NOCOP,UNKNOWN,,1
NOSCOP,NOSCOP,UNKNOWN,,2
OCD,OCD,UNKNOWN,,1
OF,OF,UNKNOWN,,4
OIL,OIL,UNKNOWN,,4
OSTR,OSTR,UNKNOWN,,1
P1,P1,UNKNOWN,,7
P113,P113,UNKNOWN,,1
P12,P12,UNKNOWN,,2
P150-P180,P150-P180,UNKNOWN,,1
P17,P17,UNKNOWN,,1
P2,P2,UNKNOWN,,1
P200,P200,UNKNOWN,,2
P350,P350,UNKNOWN,,4
P351,P351,UNKNOWN,,1
P363,P363,UNKNOWN,,1
P394,P394,UNKNOWN,,1
P41,P41,UNKNOWN,,1
P5,P5,UNKNOWN,,2
P500,P500,UNKNOWN,,3
P65,P65,UNKNOWN,,1
P7,P7,UNKNOWN,,2
P70,P70,UNKNOWN,,1
P78,P78,UNKNOWN,,2
P83,P83,UNKNOWN,,1
P908,P908,UNKNOWN,,1
PAH,PAH,UNKNOWN,,3
PAMALAKAYA,PAMALAKAYA,UNKNOWN,,2
PCCG,PCCG,UNKNOWN,,2
PCG,PCG,UNKNOWN,,133
PCO,PCO,UNKNOWN,,2
PDI,PDI,UNKNOWN,,2
PDRRMC,PDRRMC,UNKNOWN,,3
PDRRMO,PDRRMO,UNKNOWN,,2
PEMSEA,PEMSEA,UNKNOWN,,1
PENCAS,PENCAS,UNKNOWN,,2
PH,PH,UNKNOWN,,3
PHOTO,PHOTO,UNKNOWN,,3
PHOTOS,PHOTOS,UNKNOWN,,2
PSE,PSE,UNKNOWN,,1
QUEZON,QUEZON,UNKNOWN,,1
RDRRMC,RDRRMC,UNKNOWN,,2
READ,READ,UNKNOWN,,19
REFRACCION,REFRACCION,UNKNOWN,,1
RELAT,RELAT,UNKNOWN,,1
REPORTS,REPORTS,UNKNOWN,,1
RESEARCH,RESEARCH,UNKNOWN,,1
REYES,REYES,UNKNOWN,,2
RF,RF,UNKNOWN,,2
RICHARD,RICHARD,UNKNOWN,,2
ROSE,ROSE,UNKNOWN,,1
RSJ,RSJ,UNKNOWN,,1
SAN,SAN,UNKNOWN,,1
SEC,SEC,UNKNOWN,,4
SL,SL,UNKNOWN,,6
SNIFF,SNIFF,UNKNOWN,,1
SPILL,SPILL,UNKNOWN,,4
SSCI,SSCI,UNKNOWN,,4
STORIES,STORIES,UNKNOWN,,1
TEST,TEST,UNKNOWN,,1
THE,THE,UNKNOWN,,4
THREAT,THREAT,UNKNOWN,,2
TUPAD,TUPAD,UNKNOWN,,1
UNDP,UNDP,UNKNOWN,,1
UP,UP,UNKNOWN,,6
UP-MSI,UP-MSI,UNKNOWN,,1
US,US,UNKNOWN,,3
VAL,VAL,UNKNOWN,,1
VBL,VBL,UNKNOWN,,2
VDV,VDV,UNKNOWN,,1
—INQUIR,—INQUIR,UNKNOWN,,2
—KG,—KG,UNKNOWN,,1
—VAL,—VAL,UNKNOWN,,2
—VBL,—VBL,UNKNOWN,,1
—WITH,—WITH,UNKNOWN,,1
