conceptFrom,conceptTo,frequency,metaOntology,metaName
MANILA Philippines - Senator Cynthia Villar,MANILA_Philippines_-_Senator_Cynthia_Villar,1,UNKNOWN,
Tuesday septemb,Tuesday_septemb,1,UNKNOWN,
several agencies,several_agencies,1,UNKNOWN,
oil spill,oil_spill,63,UNKNOWN,
other maritime incidents,other_maritime_incidents,1,UNKNOWN,
liable parties,liable_parties,2,UNKNOWN,
Bataan oil spill,Bataan_oil_spill,5,UNKNOWN,
Manila Bay,Manila_Bay,48,UNKNOWN,
critical ecosystems,critical_ecosystems,4,UNKNOWN,
Aquatic Resources Department,Aquatic_Resources_Department,1,UNKNOWN,
Natural Resources Philippine Coast Guard PCG,Natural_Resources_Philippine_Coast_Guard_PCG,1,UNKNOWN,
Maritime Industry Authority,Maritime_Industry_Authority,3,UNKNOWN,
file cases,file_cases,1,UNKNOWN,
Justice DOJ,Justice_DOJ,4,UNKNOWN,
senior state counsel,senior_state_counsel,1,UNKNOWN,
Ganchoon specializes,Ganchoon_specializes,1,UNKNOWN,
international maritime law,international_maritime_law,1,UNKNOWN,
Nakita mo,Nakita_mo,1,UNKNOWN,
Senate committee,Senate_committee,1,UNKNOWN,
natural resources,natural_resources,4,UNKNOWN,
climate change,climate_change,1,UNKNOWN,
Senates second,Senates_second,1,UNKNOWN,
last July,last_July,7,UNKNOWN,
case buildup,case_buildup,1,UNKNOWN,
crucial part,crucial_part,2,UNKNOWN,
insufficient evidence,insufficient_evidence,1,UNKNOWN,
criminal case,criminal_case,1,UNKNOWN,
technical po,technical_po,1,UNKNOWN,
Senator Francis Tolentino,Senator_Francis_Tolentino,1,UNKNOWN,
long time,long_time,1,UNKNOWN,
Mindoro oil,Mindoro_oil,5,UNKNOWN,
Oriental Mindoro Mayor jennif Cruz togeth,Oriental_Mindoro_Mayor_jennif_Cruz_togeth,1,UNKNOWN,
National Bureau,National_Bureau,3,UNKNOWN,
Investigation Environmental Crime Division,Investigation_Environmental_Crime_Division,1,UNKNOWN,
criminal complaint,criminal_complaint,1,UNKNOWN,
MT Princess Empress,MT_Princess_Empress,4,UNKNOWN,
February 2023,February_2023,4,UNKNOWN,
Jason Bradley,Jason_Bradley,23,UNKNOWN,
same time frame,same_time_frame,1,UNKNOWN,
other ships,other_ships,1,UNKNOWN,
MTKR Jason Bradley,MTKR_Jason_Bradley,18,UNKNOWN,
alleg involvement,alleg_involvement,1,UNKNOWN,
oil smuggl,oil_smuggl,5,UNKNOWN,
set sail,set_sail,1,UNKNOWN,
Mary Jane,Mary_Jane,1,UNKNOWN,
Coast Guard,Coast_Guard,13,UNKNOWN,
— panick,—_panick,1,UNKNOWN,
caretak tri,caretak_tri,1,UNKNOWN,
safe harbor,safe_harbor,1,UNKNOWN,
tugboats captain,tugboats_captain,1,UNKNOWN,
caretak start,caretak_start,1,UNKNOWN,
past year,past_year,2,UNKNOWN,
similar violation,similar_violation,1,UNKNOWN,
Bataan days,Bataan_days,1,UNKNOWN,
Coast Guard report,Coast_Guard_report,1,UNKNOWN,
industrial oil,industrial_oil,8,UNKNOWN,
- rappler,-_rappler,17,UNKNOWN,
BATAAN Philippines,BATAAN_Philippines,1,UNKNOWN,
coastal life,coastal_life,1,UNKNOWN,
deep connection,deep_connection,1,UNKNOWN,
daily needs,daily_needs,2,UNKNOWN,
once-pristine shores,once-pristine_shores,1,UNKNOWN,
Philippine Coast Guard PCG personnel,Philippine_Coast_Guard_PCG_personnel,1,UNKNOWN,
vessel abandon,vessel_abandon,1,UNKNOWN,
crew members,crew_members,8,UNKNOWN,
Noong araw,Noong_araw,1,UNKNOWN,
Parang inabandona,Parang_inabandona,1,UNKNOWN,
MT Terranova,MT_Terranova,10,UNKNOWN,
MTKR Jason,MTKR_Jason,1,UNKNOWN,
response Governor Joet Garcia,response_Governor_Joet_Garcia,1,UNKNOWN,
severe impact,severe_impact,1,UNKNOWN,
local fish industry,local_fish_industry,1,UNKNOWN,
Antonio Tagayong,Antonio_Tagayong,1,UNKNOWN,
fish trips,fish_trips,1,UNKNOWN,
typhoon residents,typhoon_residents,1,UNKNOWN,
foul stench,foul_stench,1,UNKNOWN,
oil-cov shores,oil-cov_shores,1,UNKNOWN,
Dahil sa,Dahil_sa,1,UNKNOWN,
Kaya nalaman,Kaya_nalaman,1,UNKNOWN,
Antonio recount,Antonio_recount,1,UNKNOWN,
big waves,big_waves,2,UNKNOWN,
strong wind,strong_wind,1,UNKNOWN,
next morn,next_morn,1,UNKNOWN,
spill fishermen,spill_fishermen,2,UNKNOWN,
fish ban,fish_ban,7,UNKNOWN,
