,link,title,date,text
0,https://www.gmanetwork.com/news/topstories/nation/914926/bataan-oil-spill-bulacan-cavite-pampanga/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> DENR: Bataan oil spill might affect Bulacan, Cavite, Pampanga </h1>",2024-07-27T13:26:39+08:00,"Environment Secretary Maria Antonia Yulo-Loyzaga on Saturday told President Ferdinand Marcos Jr. that the oil spill caused by the sunken MT Terra Nova in Bataan might affect Bulacan, Cavite, and Pampanga.In a situation briefing on the effects of Super Typhoon Carina and the Enhanced Southwest Monsoon in Malolos, Bulacan, Yulo-Loyzaga showed Marcos a diagram from the Biodiversity Management Bureau identifying coastal and marine resources and marine protected areas that might be affected by the oil spill.""We are on the lookout now for the possible contamination that could happen in the wetlands and the coastline areas not just of Bataan, but we are also looking at Bulacan, and we are also looking at Pampanga, possibly Cavite because of Corregidor,"" Yulo-Loyzaga said.Yulo-Loyzaga also presented an image from the Philippine Satellite Agency of the oil spill which has spread towards Bulacan.
""As we see from this image it has spread quite quickly towards the Bulacan area,"" the Environment Secretary said.
 
Meanwhile, a UP Marine Science Institute model run of the spill based from the Philippine Space Agency (PhilSA) showed that the coastlines of Bulacan will be affected ""if the weather conditions continue,"" Yulo-Loyzaga said.
""We just got word that there are sightings of the flow towards Corregidor,"" Yulo-Loyzaga added. ""Cavite would be an area of possible impact.""
Marcos also inquired if the initial assessment of the oil spill reaching 60 kilometers north of Metro Manila was maintained.
""Bulacan would be the main site, Mr. President,"" Yulo-Loyzaga responded. ""At this point, if the weather persists, because we are dependent on wind and currents, we are also dependent on the capping of leaks and the intervention at the vessel site.""
The DENR has already conducted anticipatory action to monitor changes in NCR, Regions 3 and 4-A to anticipate possible change in the trajectory of the oil spill.
Marcos, with advice from the DENR, has ordered the provincial governments that will possibly be affected to install organic spill booms along coastal areas to prevent the spread of oil spill.
 
""We have to build them,"" Marcos said, adding that commercially-available spill booms are ""too expensive.""One person died after the MT Terra Nova capsized and caused an oil spill in Bataan early Thursday.
The spill happened 3.6 nautical miles east of Lamao Point in Limay town around 1:10 a.m. —VAL, GMA Integrated News
"
1,https://www.gmanetwork.com/news/topstories/metro/915295/oil-spill-impact-on-fishers-could-reach-p350m-bfar/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> Oil spill impact on fishers could reach P350M —BFAR </h1>",2024-07-30T22:08:31+08:00,"The oil spill seen to reach Manila Bay from the sunken MT Terra Nova tanker carrying over 1.4 million liters of fuel oil in Bataan may result in more than P351 million in damages to fishermen.
According to a ""24 Oras"" report by Mark Salazar on Tuesday, oil slick samples have already been collected at Tanza, Cavite.
The University of the Philippines Marine Science Institute estimated the leakage to reach Cavite shores by Monday and Metro Manila by Tuesday.
If left uncontrolled, the oil spill may affect over 46,000 fishermen in Central Luzon, Region 4A, and National Capital Region.
Despite this, some fishermen said they have not seen any signs of an oil spill.
“Kung meron yan [na oil spill], siguradong pati kami matataranta. Kawawa ang hanapbuhay namin niyan,” said fisherman Julius Rodriguez.
(If there was [an oil spill], we would be in panic. Our livelihood would be at stake)
“Sa ngayon dito, di pa naman po. Ayos pa naman ang bentahan [ng tahong] kasi malinaw naman ang dagat dito,” added fisherman Junnel Bin.
(As of now, not yet. The sales [of oysters] are still alright as the seas are still clear here)
The Bureau of Fisheries and Aquatic Resources has not implemented a fishing ban as leaking valves were immediately closed and the spill was contained.
In a virtual press conference by the Philippine Coast Guard on Tuesday afternoon, it was disclosed that oil siphoning in the area has been postponed as only 18 out of the 24 leaking valves of the MT Terra Nova had been sealed.
“Nasa local government units na ang pagpapasya kung magdedeklara sila [ng fishing ban]. Ang mandato po ngayon ng BFAR ay siguraduhin na patuloy ang assessment at evaluation patungkol dun sa kaligtasan sa pagkonsumo ng isda doon sa mga apektadong lugar,” said BFAR spokesperson Nazario Briguera.
(The local government units will decide if they will declare [a fishing ban]. The current mandate of the BFAR is to ensure continuous assessment and evaluation regarding the safety of fish consumption in affected areas)
Meanwhile, experts say that the oil spill had reportedly begun to affect marine life in Manila Bay.
“I can say dito, sa Manila Bay, meron pa rin siyang mga coral reef areas diyan sa may mouth [at sa] may Corregidor, Mariveles area, and meron na ring sightings na umabot na rin doon [ang spillage]. Hindi namin alam kung gaano kalala ang impact doon. Wala kasi kaming personnel on the ground eh, so it's the Coast Guard and BFAR and DENR doing the ground assessment,” said Dr. Cesar Villanoy of the UP-MSI.
(I can say that here, at the Manila Bay, there are still coral reef areas at the mouth [and at] Corregidor, Mariveles area, and there are also sightings that [the spillage] has reached there. We still don’t know how bad the impact is there. We don’t have any personnel on the ground, so it’s the Coast Guard and BFAR and DENR doing the ground assessment)
BFAR added that while the oil spill is under control, a clean-up operation would have to be conducted for the affected nearby shores.
“Kapag magiging bahagi tayo ng clean-up, dapat may protective equipment po tayo. Wag po basta basta magkakaroon ng contact dun sa oil slick kasi yung amoy nito, lalo na dun sa mga asthmatic, pwedeng makaapekto,” said Briguera.
(If you will be part of the clean-up, you should have protective equipment. Do not have contact with the oil slick because the smell can affect you, especially the asthmatic) —Jiselle Anne Casucian/LDF, GMA Integrated News
"
2,https://www.gmanetwork.com/news/topstories/regions/915577/fish-from-waters-affected-by-bataan-oil-spill-not-safe-for-human-consumption-bfar/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> Fish from waters affected by Bataan oil spill not safe —BFAR </h1>",2024-08-01T19:40:46+08:00,"The Bureau of Fisheries and Aquatic Resources said the fish it collected from areas in Region 3, CALABARZON and the National Capital Region after the Bataan oil spill are not fit for human consumption.
On their second oil spill bulletin issued on Thursday, BFAR found some degree of tainting with petrochemicals in fish samples collected from Noveleta and Rosario in Cavite, despite the testing being conducted before oil slicks were observed in the area.
No contamination was found in samples from Tanza and Cavite City.
Bataan has declared a state of calamity after oil tanker MT Terranova carrying over 1.4 million liters of fuel oil capsized off the town of Limay.
A fishing ban was imposed in Limay while the province of Cavite is now a no-catch zone for all types of shellfish.
BFAR continues to monitor fish and markets in affected areas to ensure the safety and quality of seafood for consumption.
Earlier BFAR said damages resulting from the oil spill could reach up to P350 million and affect over 46,000 fishermen in Central Luzon, Region 4A, and National Capital Region. —Jiselle Anne Casucian/RF, GMA Integrated News
"
3,https://www.gmanetwork.com/news/topstories/nation/916960/bfar-fish-oil-spill-affected-areas-except-cavite-safe-to-eat/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> BFAR: Fish from oil spill-affected areas, except Cavite, now safe to eat </h1>",2024-08-13T18:32:48+08:00,"Fish from areas affected by the Bataan oil spill are now safe for human consumption, except those from Cavite, the Bureau of Fisheries and Aquatic Resources said Tuesday. 
In a statement, BFAR said fish from Bataan, Bulacan, Pampanga, Batangas, Navotas, Paran?aque, and Las Pin?as are safe to eat. 
""In the province of Cavite, fish and shellfish samples collected are still not safe for human consumption based on sensory evaluation,"" it added.
BFAR said since the onset of the oil spill in Limay, Bataan, BFAR has been conducting on-ground monitoring and assessment of potentially affected fishing areas and communities surrounding Manila Bay.
It said fish samples are regularly collected and analyzed for traces of oil and grease and harmful contaminants polycyclic aromatic hydrocarbons (PAH).
“These tests are important to ensure that fish caught in the potentially affected areas are free from contamination and safe for public consumption,” BFAR said.
It said fish from Batangas, particularly in Nasugbu, Lian, and Calatagan, were labelled safe based on testing on Aug. 9.
Meanwhile, samples from Bataan, Bulacan, and Pampanga have consistently shown no oil and grease contamination since August 12.
The agency noted low levels of concern for harmful contaminant polycyclic aromatic hydrocarbons (PAH), posing no risk to the health of consumers.
Fish and shellfish from Navotas, Manila, Paran?aque, and Las Piñas also yielded negative for contamination based on testing conducted on Jul. 31, Aug. 6, and Aug. 12.
BFAR said it will continue to conduct fish sampling, sensory evaluation, and PAH testing in affected areas to track the effects of the oil spill.
It also urged fisherfolk and the general public to remain calm and monitor the situation through updates issued by government authorities —Jiselle Anne Casucian/AOL, GMA Integrated News
"
4,https://www.gmanetwork.com/news/scitech/science/915078/bataan-oil-spill-may-reach-bulacan-cavite-coasts-up-msi/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> Bataan oil spill may reach Bulacan, Cavite coasts —UP MSI </h1>",2024-07-29T10:03:00+08:00,"The oil spill from sunken motor tanker Terranova in Bataan may reach the coasts of Bulacan and Cavite, the University of the Philippines Marine Science Institute (UP MSI) said.
In a bulletin issued on Sunday evening, the UP MSI said its forecast, with the help of concerned government agencies, was based on the weather patterns and conditions including wind direction.
“The model shows possible transport northwards to Bulacan confirmed by oil slick sightings, from the slick observed on July 26, 2024 5:40AM by [the Philippine Space Agency],” the UP MSI said.
“Considering the continuous release of oil from the tanker, coastal areas of Cavite City may also be affected with the eastward change of forecasted winds today, July 28, 2024,” it added.
However, the UP MSI noted that models should be used with caution as they have some levels of uncertainty due to assumptions and limitations.
The UP MSI said models are produced to inform the public on the potential direction of the oil spill and help direct response measures on the ground.
The Philippine Space Agency (PhilSA) released a map on Friday showing the potential size of the oil spill from the sunken tanker off the coast of Bataan.
It includes the tanker's location as well as a satellite image of the oil leak that was taken at 5:40 a.m., PhilSA said, adding that the slick covers an area of 14.4 square kilometers.
President Ferdinand Marcos Jr. on Saturday conducted an aerial inspection of the oil spill from the sunken MT Terranova and ordered the creation of an inter-agency task force that would address the matter.
On July 25, one crew member died and 16 others were rescued after MT Terranova capsized and sank 3.6 nautical miles east off Lamao Point in Limay town, the Philippine Coast Guard (PCG) said.
The PCG on Sunday confirmed that there were leaks from the tanks carrying 1.4 million liters of industrial fuel oil onboard the motor tanker.
According to the PCG, the nine affected tank valves have been sealed and their personnel continue to monitor the situation.
Aside from MT Terranova, another sunken ship, the MTKR Jason Bradley, carrying “diesel cargo” of an unknown quantity was found to have leaks in Bataan. —Joviland Rita/KG, GMA Integrated News
"
5,https://www.gmanetwork.com/news/topstories/regions/914672/oil-spill-bataan-capsized-motor-tanker/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> Capsized motor tanker causes oil spill; 1 dead in Bataan </h1>",2024-07-25T10:43:55+08:00,"One person died after a motor tanker capsized and caused an oil spill in Bataan early Thursday, according to the Philippine Coast Guard (PCG).
A 24 Oras report by Raffy Tima on Thursday later reported that the missing individual was found dead by a PCG search team.
In a statement, PCG spokesperson Rear Admiral Armand Balilo said the incident involving MT Terra Nova happened 3.6 nautical miles east off Lamao Point in Limay town around 1:10 a.m.
PCG Rear Admiral Balilo said 16 of the 17 crew on board have been rescued. Four of the 16 rescued individuals are already receiving further medical attention. 
MT Terra Nova, which was heading to Iloilo, was carrying 1.4 million liters of industrial fuel.
“The deployed aerial asset monitors an oil spill 5.6 nautical miles east off Lamao Point with an estimated coverage (length) of two nautical miles carried by strong current heading east to northeast. Marine environmental protection personnel have also been mobilized to combat the oil spill,” PCG said.
 
An oil spill was observed after motor tanker Terra Nova capsized and submerged off Bataan waters early Thursday morning, the Philippine Coast Guard said. MT Terra Nova, heading to Iloilo, was carrying 1.4 million liters of industrial fuel. One crew member is missing. @gmanews pic.twitter.com/llgJYOFYGv
Bataan Governor Jose Garcia claimed the ship will be easily located as it sank in a shallow part of the Manila Bay.“Ang lalim na ating Manila Bay ay 30 meters so hindi imposible na magawan ng paraan para safely, securely mailabas yung laman ng tanker na langis para hindi makaapekto sa ating kapaligiran,” said Garcia in a Saksi report by Raffy Tima on Thursday.(The depth of Manila Bay is 30 meters so it’s not impossible to find a way to safely, securely retrieve the oil contained inside the tanker so that it would not affect the environment)Meanwhile, President Ferdinand Marcos Jr. urged concerned agencies to assist and analyze the extent of the impact of the oil spill.“Basically, what we need to assess is where was the capsized vessel? The fuel is being released, what are the tides? What are the winds? Where is it headed? Para maunahan na natin. [The Department of Science and Technology] can also make some determinations of that,” he said.Department of Environment and Natural Resources Secretary Maria Antonia Yulo-Loyzaga also said that they will place a monitoring instrument as soon as the vessel has been located.“Kailangan pong malaman kung saan siya ngayon at kung ano ang estado ng istruktura ng barko and then andito kami para tumulong,” she said.(We just need to know where it is and what is the state of the structure of the vessel, and we are here to help) 
Oil trace
According to Balilo, the oil that was traced was probably the working fuel of the motor tanker and not part of the 1.4 million liters of industrial fuel stored in it.
“Probably ito yung fuel na ginagamit ng barko. Yung karga, wala pang signs na tumatagas na,” he told reporters in a virtual interview.
(This was probably the working fuel used of the ship. There are no signs that the industrial oil on storage is leaking yet.)
“Yun ang magiging goal natin na malaman kung tatagas based doon sa plan ng barko. Malalaman natin kung gaano ka-secure yung water integrity ng mga tanks niya,” he added.
(That will be our goal, to know if there will be a leak based on the ship's plan. We will know secure the tank is.)
The PCG said that ""there was no weather disturbance in the vicinity waters when the maritime incident occurred.""
PCG’s BRP Melchora Aquino launched search and rescue operations for the one missing crew.
“PCG Commandant, CG Admiral Ronnie Gil L Gavan, has ordered the conduct of an investigation regarding the maritime incident,” the PCG said.
The PCG is now coordinating with oil spill response organizations to help contain the spill.
The agency aims to retrieve the remaining oil inside the tanker in a span of seven days.
Huge waves
Balilo said that based on the initial account of rescued crew members huge waves hit and filled the motor tanker. 
“Umalis sila doon sa Bataan papunta ng Iloilo. Pero during that time bandang mga alas 10 ng gabi, naramdaman na nila na malakas na yung alon,” he told reporters.
(They departed Bataan for Iloilo. But  around 10 o'clock in the evening, they felt that the waves were getting stronger.)
“Nag-decide yung kapitan na bumalik pero initially nahirapan sila sapagkat ang sabi nila pasalubong sila doon sa alon. Ang term ng mga crew ay sumalok sila ng alon at pinasok yung barko hanggang tuluyan silang nag-capsize,” he added.
(The captain decided to go back but initially they had difficulty because they said they were going against the direction of the waves. The crew said their ship began taking in water until it capsized.)—VAL/RF, GMA Integrated News
 
"
6,https://www.gmanetwork.com/news/topstories/regions/915821/cavite-damage-from-oil-spill-hits-p1b/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> Cavite damage from oil spill hits P1B  </h1>",2024-08-03T23:22:18+08:00,"The estimated cost of damage from the Bataan oil spill in Cavite has reached P1 billion.
According to a ''24 Oras Weekend'' report by Bernadette Reyes on Saturday, fish stalls in Noveleta, Cavite, have closed down due to the impact of the oil spill.
Fish and shellfish retailers said that sales have weakened, causing some mussel sellers to cook their products to prove they were safe to consume.
“Kahit na sabihin namin palaisdaan yung tinitinda naming bangus o tilapia, sadyang ayaw lang nila magtry nang kumain,” said a fish seller.
(Even if we say that the bangus or tilapia that we are selling came from fishponds, they just don’t want to try eating them.)
Cavite has been declared a no-catch zone for fish and shellfish.
The Bureau of Fisheries and Aquatic Resources is still waiting for the results of the sample testing from the province.
“There is something like a certain degree to which, if you ingest something, your body cannot take it. There is an issue of food safety; kapag may amoy, talagang may advisory tayo na wag muna siyang kainin (if there is a smell, we really have an advisory not to eat it),” said BFAR officer-in-charge Isidro Velayo Jr.
Affected fishermen are seeking alternative sources of income while the ban is in place.
Meanwhile, BFAR has been distributing relief goods to affected fishermen.
The Cavite provincial government reported that there are 25,000 fishermen in the province.
“Naghahanda na po ang LGU kung paano natin pahahabain ang tulong na ibibigay natin sa kanila. Every week, magbibigay kami ng tulong,” said Noveleta Mayor Dino Chua.
(The LGU is preparing on how to prolong the aid we will give them. Every week, we will give assistance.)
The MT Terranova, which was carrying 1.4 million liters of industrial fuel oil, sank off the coast of Limay, Bataan, on July 25.
Cavite Governor Jonvic Remulla said that an oil slick from the sunken motor tanker has reached several coastal barangays in the province. —Jiselle Anne Casucian/VBL, GMA Integrated News 
"
7,https://www.gmanetwork.com/news/scitech/science/914873/philsa-releases-map-showing-possible-extent-of-bataan-oil-spill/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> PhilSA releases map showing possible extent of Bataan oil spill </h1>",2024-07-26T21:35:41+08:00,"The Philippine Space Agency (PhilSA) released a map on Friday showing the potential size of the oil spill from the sunken tanker off the coast of Bataan.
It includes the tanker's location as well as a satellite image of the oil leak that was taken at 5:40 a.m., PhilSA said, adding that the slick covers an area of 14.4 square kilometers.
 
The image was retrieved from the International Charter Space and Major Disasters, which provides Earth-observation satellite data to support disaster management efforts.
''Please be advised that this map is still subject to field validation,'' PhilSA said.
The MT Terra Nova departed Bataan for Iloilo when it capsized 3.6 nautical miles east off Limay town around 1:10 a.m. Thursday.
According to the Philippine Coast Guard, 16 of the 17 crew members were rescued, while one crewman was found dead.
On Friday, the PCG said it started collecting oil to counter the spread of the spill.
''There are oil spill booms in the area, there are dispersants, and there are environmental protection personnel,'' PCG spokesperson Rear Admiral Armand Balilo told reporters.
Balilo said that the oil spill was coming from the working fuel of the motor tanker and not from the 1.4 million liters of stored industrial oil.
In a worst-case scenario in which the cargo of 1.4 million liters of industrial oil leaked from the motor tanker, Balilo said the waters of Parañaque, Manila, Navotas, Bulacan, and Pampanga would be affected.
“We are utilizing our manpower, mobilizing our resources, consulting with experts, and collaborating with LGUs (local government units) and other stakeholders to avoid a marine environment catastrophe,” Balilo said. —VBL, GMA Integrated News
 
"
8,https://www.gmanetwork.com/news/topstories/nation/916057/us-coast-guard-noaa-arrive-in-bataan-to-help-oil-spill-response-pcg/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> US Coast Guard, NOAA arrive in Bataan to help oil spill response — PCG </h1>",2024-08-06T11:43:20+08:00,"Members of the United States Coast Guard and the Washington-based National Oceanic and Atmospheric Administration (NOAA) arrived Tuesday in Limay, Bataan to help in the Philippines' oil spill response.
In a statement, the Philippine Coast Guard (PCG) said the eight-man team from the US is set to give technical assistance to the Incident Management Team for the recovery of the three sunken and grounded ships off the coast of Bataan.
On July 25, a crew member died while 16 others were rescued after MTKR Terranova capsized and sank 3.6 nautical miles east off Lamao Point in Limay, Bataan, the PCG said.
The initial capping bags on the valves of the motor tanker will be replaced with metal caps to avoid a ""disastrous oil spill"" during the conduct of the siphoning operation.
After the replacement with metal cappings, the siphoning operation may start. Of the 1.4 million liters of industrial fuel oil loaded in MTKR Terranova, 300,000 liters need to be siphoned to float the motor tanker.
On July 26, MTKR Jason Bradley with 5,500 diesel sank in the vicinity waters of Barangay Cabcaben, Mariveles, Bataan.
The PCG and contracted vessel FES Challenger Salvour and Builders are continuing their salvage operations for MTKR Jason Bradley, the PCG said on Monday.
Divers have been preparing for pipe insertion by clearing debris. Equipment and personnel were on the site and an operational base was being set up.
On July 31,  MV Mirola 1 ran aground in the vicinity waters of Sitio Quiapo, Barangay Biaan, Mariveles, Bataan.
A total of 790 liters of oil-water mixture and five sacks of oil-contaminated debris have been collected from grounded MV Mirola 1, the PCG said on Monday.
The estimated cost of damage due to the oil spill affecting areas in Cavite has reached P1 billion, according to the provincial government on Saturday.
A state of calamity was declared in nine coastal local government units in Cavite due to the oil spill incident from MTKR Terranova, according to the Office Civil Defense Calabarzon.
A ""no catch"" and ""no sell zone"" for all shellfish has been imposed for all coastal areas of the province. — VDV, GMA Integrated News
"
9,https://www.gmanetwork.com/news/topstories/regions/914801/coast-guard-to-deploy-floating-barriers-to-contain-oil-spill-in-bataan/story/,"<h1 class=""story_links"" data-ismultimedia=""0""> Coast Guard to deploy floating barriers to contain oil spill in Bataan </h1>",2024-07-26T10:21:28+08:00,"The Philippine Coast Guard planned Friday to deploy oil dispersant and floating barriers a day after a tanker carrying 1.4 million liters of industrial fuel sank off Manila.
AFP journalists at the Port of Limay in Bataan province watched Coast Guard personnel preparing equipment for a boat to be used against the slick in Manila Bay.
The MT Terra Nova sank in rough seas nearly seven kilometers (4.3 miles) off Limay municipality early Thursday after setting out for the central city of Iloilo.
An oil slick stretching several kilometers has been detected in the waterway, which thousands of fishermen and tourism operators rely on for their livelihoods.
But Coast Guard spokesman Rear Admiral Armando Balilo told a briefing Thursday that it appeared diesel fuel used to power the tanker had leaked and, so far, not the industrial fuel oil cargo.
The Coast Guard has set a target of seven days to offload the cargo and prevent what Balilo warned would be the worst oil spill in Philippine history if it were to leak.
The incident happened as heavy rains fueled by Super Typhoon Carina and the seasonal monsoon lashed Manila and surrounding regions in recent days.
Swamped by waves
After setting out late Wednesday the captain decided to abort the journey to Iloilo due to rough seas, but as the vessel turned back it was swamped by large waves and went down.
One crew member died, but 16 were rescued.
An investigation into the cause of the incident was underway but Balilo said Thursday the vessel had not broken rules on heavy-weather sailing.
Campaign group Greenpeace said the owners of MT Terra Nova should ""foot the bill"" for any environmental damage and compensate affected communities.
One of the worst oil spills in the Philippines was in February 2023, when a tanker carrying 800,000 liters of industrial fuel oil sank off the central island of Mindoro.
Diesel fuel and thick oil from that vessel contaminated the waters and beaches along the coast of Oriental Mindoro province, devastating the fishing and tourism industries.
The oil dispersed over hundreds of kilometers of waters famed for having some of the most diverse marine life in the world.
A tanker sank off the central island of Guimaras in 2006, spilling tens of thousands of gallons of oil that destroyed a marine reserve, ruined local fishing grounds and covered stretches of coastline in black sludge.
Immediate action sought
Meanwhile, fishers’ group Pambansang Lakas ng Kilusang Mamamalakaya ng Pilipinas (PAMALAKAYA) raised alarm over the incident and urged for the “immediate and appropriate measures” to contain the oil spill and its possible impact. 
“We are highly alarmed that this maritime incident could cause a massive oil spill in Manila Bay, affecting both the marine environment and socio-economic activities of fisherfolk… We can’t afford another ecological disaster if this oil spill escalates across our fishing grounds,” said PAMALAKAYA Vice Chairperson  Ronnel Arambulo said in a statement.
“We demand immediate and appropriate measures to contain this looming ecological disaster. The government should have a contingency plan for the potential impacts of the oil spill to marine and fishery resources,” Arambulo added. 
Arambulo said the oil spill should be prevented from reaching the 7.5-hectare fish sanctuary located in a coastal village in Limay, Bataan. It is also said the owner of MT Terra Nova should pay compensatory damages and shoulder the cleanup costs of the oil spill.  — with Sundy Mae Locus/Agence France-Presse
"
