,snippet,link,date_published,text,like_count,reply_parent_id,source,cleaned_text,topic
0,Tikom ang bibig ng mga nasa taas sa laki ng tapal ng SMC,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwI3MwQ0mJe6M_MQ_N4AaABAg,2024-08-23 02:16:14+00:00,Tikom ang bibig ng mga nasa taas sa laki ng tapal ng SMC,0,,youtube,tikom ang bibig ng mga nasa taas sa laki ng tapal ng smc,1
1,dapat managot ung dapat managot dyn kapabayaan inuuna pa KC ung kaperahan ung kkitain,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugydlk6goUWQszU82vx4AaABAg,2024-08-13 12:04:57+00:00,dapat managot ung dapat managot dyn kapabayaan inuuna pa KC ung kaperahan ung kkitain,0,,youtube,dapat managot ung dapat managot dyn kapabayaan inuuna pa kc ung kaperahan ung kkitain,0
2,perwisyo yan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxsJYInZkDtzLxZyU94AaABAg,2024-08-13 12:01:15+00:00,perwisyo yan,0,,youtube,perwisyo yan,4
3,Ang dahilan ay Ng kbubuhan,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwGX_twZNBeBI8ut4Z4AaABAg,2024-08-12 09:35:56+00:00,Ang dahilan ay Ng kbubuhan,0,,youtube,ang dahilan ay ng kbubuhan,4
4,Ai nko alam Ng may bagyo mga vompanya tlgang wlang kwenta mga mukhang pera,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgwiADdpTOotuF9Q1d14AaABAg,2024-08-11 11:40:17+00:00,Ai nko alam Ng may bagyo mga vompanya tlgang wlang kwenta mga mukhang pera,0,,youtube,ai nko alam ng may bagyo mga vompanya tlgang wlang kwenta mga mukhang pera,2
5,Yun mirola parang hindi worthy mag layag,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=Ugxs65yOJP2yKk4c1ht4AaABAg,2024-08-11 08:16:01+00:00,Yun mirola parang hindi worthy mag layag,0,,youtube,yun mirola parang hindi worthy mag layag,0
6,Katigasan nang mga naglalayag na barko iyan. Iniisip ang pansariling kapakanan.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyvBlo-MF9vujBr02h4AaABAg,2024-08-11 06:50:33+00:00,Katigasan nang mga naglalayag na barko iyan. Iniisip ang pansariling kapakanan.,0,,youtube,katigasan nang mga naglalayag na barko iyan. iniisip ang pansariling kapakanan.,2
7,"Diba nangyari nayan noon,ang ginawa ata nila noon nag buhos Sila nang madaming buhok don narin kakapit yong langis..",https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyBOZUotSJf5_sowXl4AaABAg,2024-08-11 02:02:45+00:00,"Diba nangyari nayan noon,ang ginawa ata nila noon nag buhos Sila nang madaming buhok don narin kakapit yong langis..",0,,youtube,"diba nangyari nayan noon,ang ginawa ata nila noon nag buhos sila nang madaming buhok narin kakapit yong langis..",0
8,Go Philippines sirain nyo kalikasan nakakaproud kayong mga nasa nakaktaas,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgxS3lVv2ualXHZ2eWB4AaABAg,2024-08-10 01:12:57+00:00,Go Philippines sirain nyo kalikasan nakakaproud kayong mga nasa nakaktaas,0,,youtube,go philippine sirain nyo kalikasan nakakaproud kayong mga nasa nakaktaas,0
9,Asan na yung mga pinoy na tuwang tuwa nung bumagyo sa china.....God is not always love but God is Judge tignan nyo epekyo ng pagtawatawa nyo...tapos ngayon.hihingi kayo ng tulong kay God..,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgyYDycFhM1mZBWdWLp4AaABAg,2024-08-09 17:16:28+00:00,Asan na yung mga pinoy na tuwang tuwa nung bumagyo sa china.....God is not always love but God is Judge tignan nyo epekyo ng pagtawatawa nyo...tapos ngayon.hihingi kayo ng tulong kay God..,1,,youtube,asan na yung mga pinoy na tuwang tuwa nung bumagyo sa china.....god always love god judge tignan nyo epekyo ng pagtawatawa nyo...tapos ngayon.hihingi kayo ng tulong kay god..,4
10,Cge lang sirain nyo lang ang dagat....ibabalik din yan ng Dyos satin mga tao yan....lahat damay.,https://www.youtube.com/watch?v=1iU7y20ZxyE&lc=UgztsqWV6bS5sdTvju94AaABAg,2024-08-09 17:11:54+00:00,Cge lang sirain nyo lang ang dagat....ibabalik din yan ng Dyos satin mga tao yan....lahat damay.,1,,youtube,cge lang sirain nyo lang ang dagat....ibabalik din yan ng dyos satin mga tao yan....lahat damay.,0
